Dòng theo dõi,Mã căn,File theo dõi T4,Sao kê đã phân bổ,Chênh lệch,Trạng thái,Tháng đã đóng đến hiện tại,Tổng số dư trên file theo dõi,Ghi chú file theo dõi
72,L1.321,3000000,1500000,-1500000,LECH_TIEN,hết tháng 15,3750000,
93,L1.418,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 10,2500000,
112,L1.514,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 8,2000000,
220,L2.403,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 9,2250000,
287,L3.110,250000,0,-250000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 4,1000000,
359,L4A.103,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,
360,L4A.105,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,
382,L4A.126,500000,0,-500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 4,1000000,
383,L4A.127,500000,0,-500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 4,1000000,
388,L4A.132,750000,0,-750000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,
394,L4A.202,750000,0,-750000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,
454,L4A.326,250000,0,-250000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 5,1250000,
509,L4A.510,250000,0,-250000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 4,1000000,
516,L4A.517,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,6/2/2025 Ck nhầm sang STK của AN ĐIỀN 250.000đ
572,L4B.203,86270,0,-86270,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 5,1250000,
673,L4B.432,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 9,2250000,
714,L4C.105,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 5,1250000,
740,L4C.130,750000,0,-750000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,
758,L4C.211B,750000,0,-750000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,
781,L4C.235,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 8,2000000,
795,L4C.312,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 9,2250000,
839,L4C.421,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 7,1750000,
881,L4C.530,500000,80000,-420000,LECH_TIEN,hết tháng 5,1250000,
